database_name	LIPIDMAPS
database_version	18Mar14
302.224581	C20H30O2	LMFA01030180
330.255881	C22H34O2	LMFA01030182
330.255881	C22H34O2	LMFA01030183
330.255881	C22H34O2	LMFA01030184
328.240231	C22H32O2	LMFA01030185
356.271531	C24H36O2	LMFA01030186
168.11503	C10H16O2	LMFA01030188
196.14633	C12H20O2	LMFA01030189
224.17763	C14H24O2	LMFA01030191
72.02113	C3H4O2	LMFA01030193
86.03678	C4H6O2	LMFA01030194
86.03678	C4H6O2	LMFA01030195
170.13068	C10H18O2	LMFA01030198
170.13068	C10H18O2	LMFA01030199
168.11503	C10H16O2	LMFA01030200
168.11503	C10H16O2	LMFA01030201
168.11503	C10H16O2	LMFA01030202
168.11503	C10H16O2	LMFA01030203
168.11503	C10H16O2	LMFA01030204
168.11503	C10H16O2	LMFA01030205
168.11503	C10H16O2	LMFA01030206
168.11503	C10H16O2	LMFA01030207
168.11503	C10H16O2	LMFA01030208
168.11503	C10H16O2	LMFA01030209
168.11503	C10H16O2	LMFA01030210
168.11503	C10H16O2	LMFA01030211
168.11503	C10H16O2	LMFA01030212
168.11503	C10H16O2	LMFA01030213
168.11503	C10H16O2	LMFA01030214
166.09938	C10H14O2	LMFA01030215
166.09938	C10H14O2	LMFA01030216
184.14633	C11H20O2	LMFA01030217
184.14633	C11H20O2	LMFA01030218
184.14633	C11H20O2	LMFA01030219
184.14633	C11H20O2	LMFA01030220
184.14633	C11H20O2	LMFA01030221
182.13068	C11H18O2	LMFA01030222
198.16198	C12H22O2	LMFA01030223
198.16198	C12H22O2	LMFA01030224
198.16198	C12H22O2	LMFA01030225
198.16198	C12H22O2	LMFA01030226
198.16198	C12H22O2	LMFA01030227
198.16198	C12H22O2	LMFA01030228
198.16198	C12H22O2	LMFA01030229
196.14633	C12H20O2	LMFA01030230
196.14633	C12H20O2	LMFA01030231
196.14633	C12H20O2	LMFA01030232
196.14633	C12H20O2	LMFA01030233
196.14633	C12H20O2	LMFA01030234
196.14633	C12H20O2	LMFA01030235
196.14633	C12H20O2	LMFA01030236
196.14633	C12H20O2	LMFA01030237
196.14633	C12H20O2	LMFA01030238
196.14633	C12H20O2	LMFA01030239
192.11503	C12H16O2	LMFA01030240
192.11503	C12H16O2	LMFA01030241
192.11503	C12H16O2	LMFA01030242
190.09938	C12H14O2	LMFA01030243
210.16198	C13H22O2	LMFA01030244
210.16198	C13H22O2	LMFA01030245
226.19328	C14H26O2	LMFA01030246
226.19328	C14H26O2	LMFA01030247
226.19328	C14H26O2	LMFA01030248
226.19328	C14H26O2	LMFA01030249
226.19328	C14H26O2	LMFA01030250
224.17763	C14H24O2	LMFA01030251
224.17763	C14H24O2	LMFA01030252
224.17763	C14H24O2	LMFA01030253
224.17763	C14H24O2	LMFA01030254
224.17763	C14H24O2	LMFA01030255
224.17763	C14H24O2	LMFA01030256
224.17763	C14H24O2	LMFA01030257
218.13068	C14H18O2	LMFA01030258
240.20893	C15H28O2	LMFA01030259
254.224581	C16H30O2	LMFA01030260
254.224581	C16H30O2	LMFA01030261
254.224581	C16H30O2	LMFA01030262
254.224581	C16H30O2	LMFA01030263
254.224581	C16H30O2	LMFA01030264
254.224581	C16H30O2	LMFA01030265
254.224581	C16H30O2	LMFA01030266
